kmage;miles;priceRUB;priceUSD;vol;power;fuel
72000;44640;2180000;29659,9;2,0;180;Бензин
54837;33999;1499000;20394,6;1,4;150;Бензин
34042;21106;1799000;24476,2;1,4;150;Бензин
143000;88660;918000;12489,8;2,0;170;Бензин
166625;103308;940000;12789,1;1,4;150;Бензин
0;0;2147900;29223,1;1,4;150;Бензин
39000;24180;1750000;23809,5;1,4;150;Бензин
0;0;2048900;27876,2;1,4;150;Бензин
169079;104829;870000;11836,7;2,0;170;Бензин
79700;49414;2050000;27891,2;2,0;180;Бензин
20191;12518;1725000;23469,4;1,4;150;Бензин
100500;62310;1170000;15918,4;1,4;150;Бензин
6835;4238;1650000;22449,0;1,4;125;Бензин
94327;58483;755000;10272,1;1,4;150;Бензин
30000;18600;1900000;25850,3;1,4;150;Бензин
17800;11036;2660000;36190,5;2,0;150;Дизель
290000;179800;760000;10340,1;2,0;140;Дизель
131118;81293;820000;11156,5;2,0;170;Бензин
109500;67890;1290000;17551,0;2,0;140;Дизель
19600;12152;2300000;31292,5;2,0;180;Бензин
135000;83700;890000;12108,8;1,4;150;Бензин
105000;65100;699000;9510,2;1,4;150;Бензин
0;0;1696900;23087,1;1,4;125;Бензин
131250;81375;740000;10068,0;2,0;170;Бензин
173000;107260;1080000;14693,9;2,0;170;Бензин
216000;133920;675000;9183,7;2,0;140;Дизель
75000;46500;1430000;19455,8;1,4;125;Бензин
71000;44020;935000;12721,1;1,4;122;Бензин
22047;13669;2200000;29932,0;1,4;150;Бензин
57300;35526;1800000;24489,8;1,4;150;Бензин
185000;114700;990000;13469,4;2,0;200;Бензин
101885;63169;1099000;14952,4;2,0;140;Дизель
13200;8184;2750000;37415,0;2,0;220;Бензин
68828;42673;1980000;26938,8;2,0;180;Бензин
0;0;2114900;28774,2;1,4;150;Бензин
87700;54374;1099000;14952,4;2,0;170;Бензин
196000;121520;797000;10843,5;2,0;170;Бензин
60063;37239;1750000;23809,5;1,4;150;Бензин
104451;64760;1050000;14285,7;2,0;170;Бензин
67000;41540;1950000;26530,6;1,4;150;Бензин
63000;39060;1750100;23810,9;1,4;150;Бензин
17846;11065;2760100;37552,4;2,0;220;Бензин
42000;26040;2200000;29932,0;2,0;180;Бензин
39000;24180;2120000;28843,5;2,0;150;Дизель
